id,name
yks.res_district_733,松江区 
yks.res_district_734,青浦区 
yks.res_district_735,南汇区 
yks.res_district_736,奉贤区 
yks.res_district_737,崇明县 
yks.res_district_738,玄武区 
yks.res_district_739,白下区 
yks.res_district_740,秦淮区 
yks.res_district_741,建邺区 
yks.res_district_742,鼓楼区 
yks.res_district_743,下关区 
yks.res_district_744,浦口区 
yks.res_district_745,栖霞区 
yks.res_district_746,雨花台区 
yks.res_district_747,江宁区 
yks.res_district_748,六合区 
yks.res_district_749,溧水县 
yks.res_district_750,高淳县 
yks.res_district_751,崇安区 
yks.res_district_752,南长区 
yks.res_district_753,北塘区 
yks.res_district_754,锡山区 
yks.res_district_755,惠山区 
yks.res_district_756,滨湖区 
yks.res_district_757,江阴市 
yks.res_district_758,宜兴市 
yks.res_district_759,鼓楼区 
yks.res_district_760,云龙区 
yks.res_district_761,九里区 
yks.res_district_762,贾汪区 
yks.res_district_763,泉山区 
yks.res_district_764,丰县 
yks.res_district_765,沛县 
yks.res_district_766,铜山县 
yks.res_district_767,睢宁县 
yks.res_district_768,新沂市 
yks.res_district_769,邳州市 
yks.res_district_770,天宁区 
yks.res_district_771,钟楼区 
yks.res_district_772,戚墅堰区 
yks.res_district_773,新北区 
yks.res_district_774,武进区 
yks.res_district_775,溧阳市 
yks.res_district_776,金坛市 
yks.res_district_777,沧浪区 
yks.res_district_778,平江区 
yks.res_district_779,金阊区 
yks.res_district_780,虎丘区 
yks.res_district_781,吴中区 
yks.res_district_782,相城区 
yks.res_district_783,常熟市 
yks.res_district_784,张家港市 
yks.res_district_785,昆山市 
yks.res_district_786,吴江市 
yks.res_district_787,太仓市 
yks.res_district_788,崇川区 
yks.res_district_789,港闸区 
yks.res_district_790,海安县 
yks.res_district_791,如东县 
yks.res_district_792,启东市 
yks.res_district_793,如皋市 
yks.res_district_794,通州市 
yks.res_district_795,海门市 
yks.res_district_796,连云区 
yks.res_district_797,新浦区 
yks.res_district_798,海州区 
yks.res_district_799,赣榆县 
yks.res_district_800,东海县 
yks.res_district_801,灌云县 
yks.res_district_802,灌南县 
yks.res_district_803,清河区 
yks.res_district_804,楚州区 
yks.res_district_805,淮阴区 
yks.res_district_806,清浦区 
yks.res_district_807,涟水县 
yks.res_district_808,洪泽县 
yks.res_district_809,盱眙县 
yks.res_district_810,金湖县 
yks.res_district_811,亭湖区 
yks.res_district_812,盐都区 
yks.res_district_813,响水县 
yks.res_district_814,滨海县 
yks.res_district_815,阜宁县 
yks.res_district_816,射阳县 
yks.res_district_817,建湖县 
yks.res_district_818,东台市 
yks.res_district_819,大丰市 
yks.res_district_820,广陵区 
yks.res_district_821,邗江区 
yks.res_district_822,维扬区 
yks.res_district_823,宝应县 
yks.res_district_824,仪征市 
yks.res_district_825,高邮市 
yks.res_district_826,江都市 
yks.res_district_827,京口区 
yks.res_district_828,润州区 
yks.res_district_829,丹徒区 
yks.res_district_830,丹阳市 
yks.res_district_831,扬中市 
yks.res_district_832,句容市 
yks.res_district_833,海陵区 
yks.res_district_834,高港区 
yks.res_district_835,兴化市 
yks.res_district_836,靖江市 
yks.res_district_837,泰兴市 
yks.res_district_838,姜堰市 
yks.res_district_839,宿城区 
yks.res_district_840,宿豫区 
yks.res_district_841,沭阳县 
yks.res_district_842,泗阳县 
yks.res_district_843,泗洪县 
yks.res_district_844,上城区 
yks.res_district_845,下城区 
yks.res_district_846,江干区 
yks.res_district_847,拱墅区 
yks.res_district_848,西湖区 
yks.res_district_849,滨江区 
yks.res_district_850,萧山区 
yks.res_district_851,余杭区 
yks.res_district_852,桐庐县 
yks.res_district_853,淳安县 
yks.res_district_854,建德市 
yks.res_district_855,富阳市 
yks.res_district_856,临安市 
yks.res_district_857,海曙区 
yks.res_district_858,江东区 
yks.res_district_859,江北区 
yks.res_district_860,北仑区 
yks.res_district_861,镇海区 
yks.res_district_862,鄞州区 
yks.res_district_863,象山县 
yks.res_district_864,宁海县 
yks.res_district_865,余姚市 
yks.res_district_866,慈溪市 
yks.res_district_867,奉化市 
yks.res_district_868,鹿城区 
yks.res_district_869,龙湾区 
yks.res_district_870,瓯海区 
yks.res_district_871,洞头县 
yks.res_district_872,永嘉县 
yks.res_district_873,平阳县 
yks.res_district_874,苍南县 
yks.res_district_875,文成县 
yks.res_district_876,泰顺县 
yks.res_district_877,瑞安市 
yks.res_district_878,乐清市 
yks.res_district_879,秀城区 
yks.res_district_880,秀洲区 
yks.res_district_881,嘉善县 
yks.res_district_882,海盐县 
yks.res_district_883,海宁市 
yks.res_district_884,平湖市 
yks.res_district_885,桐乡市 
yks.res_district_886,吴兴区 
yks.res_district_887,南浔区 
yks.res_district_888,德清县 
yks.res_district_889,长兴县 
yks.res_district_890,安吉县 
yks.res_district_891,越城区 
yks.res_district_892,绍兴县 
yks.res_district_893,新昌县 
yks.res_district_894,诸暨市 
yks.res_district_895,上虞市 
yks.res_district_896,嵊州市 
yks.res_district_897,婺城区 
yks.res_district_898,金东区 
yks.res_district_899,武义县 
yks.res_district_900,浦江县 
yks.res_district_901,磐安县 
yks.res_district_902,兰溪市 
yks.res_district_903,义乌市 
yks.res_district_904,东阳市 
yks.res_district_905,永康市 
yks.res_district_906,柯城区 
yks.res_district_907,衢江区 
yks.res_district_908,常山县 
yks.res_district_909,开化县 
yks.res_district_910,龙游县 
yks.res_district_911,江山市 
